"variable","chisq_stat","chisq_df","chisq_p","chisq_method","fisher_or","fisher_or_lo","fisher_or_hi","fisher_p","fisher_method","significance"
"antibiotic_past1mo",0.013647671735907,1,0.907000119084017,"Pearson's Chi-squared test with Yates' continuity correction",Inf,0.124121565643514,Inf,1,"Fisher's Exact Test for Count Data","no"
"vaccination_hibpentavalent_dc_n",7.92726419973152,2,0.0189940007463809,"Pearson's Chi-squared test",NA,NA,NA,0.0354436307300994,"Fisher's Exact Test for Count Data","occur"
"vaccination_pcv13_dc_n",5.03733969791963,4,0.283487623008947,"Pearson's Chi-squared test",NA,NA,NA,0.254038700874723,"Fisher's Exact Test for Count Data","no"
"age_year",10.3946702723538,4,0.0342792263771189,"Pearson's Chi-squared test",NA,NA,NA,0.0376307981754462,"Fisher's Exact Test for Count Data","occur"
"age_year_2groups",6.89199463677018,1,0.00865826027822252,"Pearson's Chi-squared test with Yates' continuity correction",3.04484947454115,1.24097682484788,7.12090338897662,0.00964547933938797,"Fisher's Exact Test for Count Data","occur"
"age_year_3groups",9.53767088768924,2,0.00849026179160921,"Pearson's Chi-squared test",NA,NA,NA,0.0133229550016789,"Fisher's Exact Test for Count Data","occur"
"breastFeed_compiled",1.2617390548886,2,0.532128899101433,"Pearson's Chi-squared test",NA,NA,NA,0.788960614030978,"Fisher's Exact Test for Count Data","no"
"house_roof_regroup",4.57008534901313,4,0.334317870022465,"Pearson's Chi-squared test",NA,NA,NA,0.371595276594727,"Fisher's Exact Test for Count Data","no"
"house_building_regroup",3.51497967954868,2,0.172477266470167,"Pearson's Chi-squared test",NA,NA,NA,0.180068154378445,"Fisher's Exact Test for Count Data","no"
"house_window_regroup",0.555036609793431,1,0.45626700954018,"Pearson's Chi-squared test with Yates' continuity correction",1.52542682135272,0.563091293011385,3.73313211523907,0.340954962372324,"Fisher's Exact Test for Count Data","no"
"nTotal_people_regroup",1.74636121125685,2,0.417621146456925,"Pearson's Chi-squared test",NA,NA,NA,0.597691092006444,"Fisher's Exact Test for Count Data","no"
"nTotal_child_5yo_andBelow_regroup",0.273719630643878,1,0.600847456334591,"Pearson's Chi-squared test with Yates' continuity correction",1.63291757544575,0.474938852553542,8.72564917962975,0.595087624608567,"Fisher's Exact Test for Count Data","no"
"nTotal_child_5yo_andBelow_sleep_regroup",0.000454805014568217,1,0.9829854775242,"Pearson's Chi-squared test with Yates' continuity correction",1.31816848836852,0.302169541523376,12.0445369232596,1,"Fisher's Exact Test for Count Data","no"
"illness_past3days_fever_regroup",0.0024700801725137,1,0.960361535249152,"Pearson's Chi-squared test with Yates' continuity correction",1.64745833890151,0.237718519619719,71.5646560202959,1,"Fisher's Exact Test for Count Data","no"
"illness_past3days_fever_nDays_regroup",5.32308931477729,4,0.255723227619329,"Pearson's Chi-squared test",NA,NA,NA,0.390936019993276,"Fisher's Exact Test for Count Data","no"
"illness_past24h_difficulty_compiled",0.685534434065899,1,0.407687451217098,"Pearson's Chi-squared test with Yates' continuity correction",0.65027762298363,0.244559907157499,1.5537131814612,0.335075902237503,"Fisher's Exact Test for Count Data","no"
"vaccination_hibpentavalent_dc_n_regroup",1.16966876283152,1,0.279469311274374,"Pearson's Chi-squared test with Yates' continuity correction",1.59778828690607,0.726483946520867,3.62991571376673,0.271532612993338,"Fisher's Exact Test for Count Data","no"
"vaccination_pcv13_dc_n_regroup",3.7181969363403,1,0.0538224621743146,"Pearson's Chi-squared test with Yates' continuity correction",2.15133730771908,0.977340533230472,4.75954101100985,0.0527279535425646,"Fisher's Exact Test for Count Data","no"
"final_pneumo_decision",1.62821425751257e-30,1,0.999999999999999,"Pearson's Chi-squared test with Yates' continuity correction",0,0,359.609981821187,1,"Fisher's Exact Test for Count Data","no"
"workWGS_process_date",8.40985028939362,12,0.75233815797937,"Pearson's Chi-squared test",NA,NA,NA,0.647120408543166,"Fisher's Exact Test for Count Data","no"
"workWGS_no_isolat",339,338,0.474460417913305,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,NA
"workWGS_genome_length",339,338,0.474460417913305,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,NA
"workWGS_gc_content",34.4521063135733,15,0.00294090789162391,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_serotype",193.305312136226,47,1.19041142450413e-19,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_pw_ST",316.618211527035,148,2.66188872362064e-14,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_gpsc_strain",243.967016631507,39,1.76865055163993e-31,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_pw_aroe",103.196153668676,22,1.77421150843375e-12,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_pw_gdh",217.657964514602,31,6.39062215483133e-30,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_pw_gki",57.2512357217348,28,0.00090294929035443,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_pw_recp",251.301472598297,24,9.11317953219909e-40,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_pw_spi",191.69258180865,29,6.72008475393186e-26,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_pw_xpt",49.0001203253706,29,0.0115479216885796,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_pw_ddl",102.29387911142,31,1.51581748849454e-09,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_AMR_pbp1a",98.530691876165,18,4.11312479190895e-13,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_AMR_pbp2b",65.6932683631536,15,2.58222955367816e-08,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_AMR_pbp2x",81.5435965368741,20,2.14410367731661e-09,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_AMR_chloramphenicol",10.4203332867674,1,0.00124635399421389,"Pearson's Chi-squared test with Yates' continuity correction",0.169385998834834,0.0523209099221451,0.602672867054055,0.00306621601434029,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_clindamycin",41.4476388152859,2,9.99446582495465e-10,"Pearson's Chi-squared test",NA,NA,NA,1.25559040443724e-05,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_erythromycin",272.108555910145,2,8.17293123296304e-60,"Pearson's Chi-squared test",NA,NA,NA,9.27741223932803e-35,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_fluoroquinolones",0.326418067226891,3,0.954985740452932,"Pearson's Chi-squared test",NA,NA,NA,1,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_tetracycline",170.652114686408,5,5.29617788930843e-35,"Pearson's Chi-squared test",NA,NA,NA,1.90695782946875e-24,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_trimethoprim",45.6156551222878,1,1.43886973771545e-11,"Pearson's Chi-squared test with Yates' continuity correction",0.0761891635283777,0.0267474695530263,0.190177327841665,1.16351323974335e-10,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_sulfamethoxazole",44.8092869474474,1,2.17190130214957e-11,"Pearson's Chi-squared test with Yates' continuity correction",0.0169504823562837,0.000415908745049418,0.104447511785972,8.38271393240107e-13,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_cotrimoxazole",55.4204514359143,3,5.58484943265505e-12,"Pearson's Chi-squared test",NA,NA,NA,2.42843226703799e-14,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_amoxicillin",28.3104278074866,2,7.11981503755526e-07,"Pearson's Chi-squared test",NA,NA,NA,0.00106401290617423,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_ceftriaxone",37.8162365402131,2,6.14198246351698e-09,"Pearson's Chi-squared test",NA,NA,NA,8.58014323695302e-05,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_cefotaxime",28.3104278074866,2,7.11981503755526e-07,"Pearson's Chi-squared test",NA,NA,NA,0.00106401290617423,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_cefuroxime",47.9149064366014,2,3.93922027757972e-11,"Pearson's Chi-squared test",NA,NA,NA,7.78638803633887e-06,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_meropenem",37.8162365402131,3,3.09134723949123e-08,"Pearson's Chi-squared test",NA,NA,NA,0.000124449694628848,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_penicillin",28.3459920900178,3,3.072656854775e-06,"Pearson's Chi-squared test",NA,NA,NA,0.00215063373589598,"Fisher's Exact Test for Count Data","occur"
"workWGS_serotype_regroup",193.074468923042,41,1.37936523886217e-21,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_AMR_ceftriaxone_nonMeningitis",1.27320528671665e-28,1,0.999999999999991,"Pearson's Chi-squared test with Yates' continuity correction",1.34430721394255,0.141946652654651,6.29157809960228,0.661189424565067,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_ceftriaxone_meningitis",37.8162365402131,2,6.14198246351698e-09,"Pearson's Chi-squared test",NA,NA,NA,8.58014323695302e-05,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_cefotaxime_nonMeningitis",1.27320528671665e-28,1,0.999999999999991,"Pearson's Chi-squared test with Yates' continuity correction",1.34430721394255,0.141946652654651,6.29157809960228,0.661189424565067,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_cefotaxime_meningitis",28.3104278074866,2,7.11981503755526e-07,"Pearson's Chi-squared test",NA,NA,NA,0.00106401290617423,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_penicillin_nonMeningitis",28.3104278074866,2,7.11981503755526e-07,"Pearson's Chi-squared test",NA,NA,NA,0.00106401290617423,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_penicillin_meningitis",1.56131005234523,2,0.458105841690345,"Pearson's Chi-squared test",NA,NA,NA,0.362706428644394,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_class_cephalosporins",47.3818302335228,2,5.14240519183157e-11,"Pearson's Chi-squared test",NA,NA,NA,8.5604844551679e-06,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_class_penicillins",28.3104278074866,2,7.11981503755526e-07,"Pearson's Chi-squared test",NA,NA,NA,0.00106401290617423,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_class_antifolates",58.9123856127533,3,1.00363108688234e-12,"Pearson's Chi-squared test",NA,NA,NA,7.60550349852072e-15,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_logic_class_amphenicols",10.4203332867674,1,0.00124635399421389,"Pearson's Chi-squared test with Yates' continuity correction",0.169385998834834,0.0523209099221451,0.602672867054055,0.00306621601434029,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_logic_class_lincosamides",29.609965915113,1,5.28326029781324e-08,"Pearson's Chi-squared test with Yates' continuity correction",0.0188957596878448,0.000393677118238773,0.176843399270538,3.6569070529226e-05,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_logic_class_macrolides",261.329505823464,1,8.80477798521317e-59,"Pearson's Chi-squared test with Yates' continuity correction",0.000672056300121513,0,0.0053920790871238,9.27741223932023e-35,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_logic_class_quinolones",7.00613327140082e-31,1,0.999999999999999,"Pearson's Chi-squared test with Yates' continuity correction",Inf,0.0437811942399336,Inf,1,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_logic_class_tetracyclines",72.130629660546,1,2.01413095683299e-17,"Pearson's Chi-squared test with Yates' continuity correction",0.00974149900592378,0.000241098821302971,0.060459410207129,2.0986707513285e-17,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_logic_class_carbapenems",18.6589589434259,1,1.56311054079097e-05,"Pearson's Chi-squared test with Yates' continuity correction",0,0,0.251256642649619,0.00084777247626478,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_logic_class_cephalosporins",37.2087390726568,1,1.06137071250887e-09,"Pearson's Chi-squared test with Yates' continuity correction",0,0,0.107414833698452,6.55261242315528e-06,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_logic_class_penicillins",18.6589589434259,1,1.56311054079097e-05,"Pearson's Chi-squared test with Yates' continuity correction",0,0,0.251256642649619,0.00084777247626478,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_logic_class_antifolates",48.7089323708891,1,2.9691107152207e-12,"Pearson's Chi-squared test with Yates' continuity correction",0,0,0.0666581861629011,2.28443987522154e-14,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_logic_class_counts",339,6,3.54420658069454e-70,"Pearson's Chi-squared test",NA,NA,NA,1.38431453719935e-46,"Fisher's Exact Test for Count Data","occur"
"workWGS_success_failed",327.492808883537,332,0.559541161705963,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,NA
"workBLAST_lytA_pident",78.650178372129,29,1.82253339422018e-06,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workBLAST_lytA_length",34.7857510973991,17,0.00663678904898133,"Pearson's Chi-squared test",NA,NA,NA,0.0133694499001378,"Fisher's Exact Test for Count Data","occur"
"workBLAST_lytA_mismatch",60.6442517129142,16,4.07487526614926e-07,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workBLAST_lytA_gapopen",24.559243584738,4,6.16898511129794e-05,"Pearson's Chi-squared test",NA,NA,NA,0.000195358199459987,"Fisher's Exact Test for Count Data","occur"
"workBLAST_lytA_qstart",338,337,0.474422653191989,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,NA
"workBLAST_lytA_qend",338,337,0.474422653191989,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,NA
"workBLAST_lytA_sstart",4.79740297238916,11,0.940579589401168,"Pearson's Chi-squared test",NA,NA,NA,0.742086119402425,"Fisher's Exact Test for Count Data","no"
"workBLAST_lytA_send",10.6742665524713,10,0.383452192805383,"Pearson's Chi-squared test",NA,NA,NA,0.552626861926966,"Fisher's Exact Test for Count Data","no"
"workBLAST_lytA_bitscore",78.650178372129,31,5.12779715041006e-06,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_dc_ST",205.466873159515,42,2.11031312171123e-23,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_dc_aroe",102.816702056498,23,4.57742215555294e-12,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_dc_gdh",216.977291810009,33,6.07385311784256e-29,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_dc_gki",57.0384627496871,30,0.00207048902914206,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_dc_recp",250.532262641124,26,1.36336665128918e-38,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_dc_spi",198.647321016915,28,1.23558474062513e-27,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_dc_xpt",57.8437893711141,35,0.00890374361370903,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_dc_ddl",100.258263728686,37,9.66176616677335e-08,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_kity_top_hits",311.515217751283,177,1.77781877298364e-09,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_kity_max_mm",1.7301638267252,2,0.421017064291364,"Pearson's Chi-squared test",NA,NA,NA,0.293337511216711,"Fisher's Exact Test for Count Data","no"
"workWGS_kity_max_percent",246.81667825799,98,8.04428870807862e-15,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_kity_folder",1.70300555163368,4,0.790171589489543,"Pearson's Chi-squared test",NA,NA,NA,1,"Fisher's Exact Test for Count Data","no"
"workWGS_kity_stage1_result",174.347280757049,40,1.06721557649273e-18,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_kity_stage2_varids",3.21331829777669,7,0.864592294631227,"Pearson's Chi-squared test",NA,NA,NA,0.90350760460877,"Fisher's Exact Test for Count Data","no"
"workWGS_kity_stage2_hits",11.7990841983249,9,0.224874445268427,"Pearson's Chi-squared test",NA,NA,NA,0.577838628512771,"Fisher's Exact Test for Count Data","no"
"workWGS_kity_stage2_result",3.21331829777669,7,0.864592294631227,"Pearson's Chi-squared test",NA,NA,NA,0.90350760460877,"Fisher's Exact Test for Count Data","no"
"workWGS_kity_predicted_serotype",175.857593503192,43,5.45067468645206e-18,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_kity_rag_status",9.57930878165972,2,0.00831533073992156,"Pearson's Chi-squared test",NA,NA,NA,0.00688667817303563,"Fisher's Exact Test for Count Data","occur"
"workWGS_kity_predicted_serotype_regroup",165.533761621867,34,3.24847901143246e-19,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"serotype_final_decision",188.258181772412,39,1.92735647011063e-21,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"serotype_final_decision_DC_notes",0.03428162766723,1,0.853109044354179,"Pearson's Chi-squared test with Yates' continuity correction",1.42331019872899,0.256125577327745,5.23097286047102,0.480606209682342,"Fisher's Exact Test for Count Data","no"
"workPoppunk_qc",9.51041082854156,4,0.0495337670399907,"Pearson's Chi-squared test",NA,NA,NA,0.275083358754234,"Fisher's Exact Test for Count Data","occur"
"serotype_classification_PCV13",47.8826164607219,2,4.00333511541663e-11,"Pearson's Chi-squared test",NA,NA,NA,2.87583183474159e-10,"Fisher's Exact Test for Count Data","occur"
"serotype_classification_PCV13_pw",57.2113614472261,1,3.91403565231985e-14,"Pearson's Chi-squared test with Yates' continuity correction",0.0548521578412957,0.0177079926300556,0.14337510203912,1.13729629563128e-12,"Fisher's Exact Test for Count Data","occur"
"serotype_classification_PCV13_final_decision",59.8302903375671,2,1.01863249861598e-13,"Pearson's Chi-squared test",NA,NA,NA,2.29473496538897e-12,"Fisher's Exact Test for Count Data","occur"
"serotype_classification_PCV15_final_decision",59.8302903375671,2,1.01863249861598e-13,"Pearson's Chi-squared test",NA,NA,NA,2.29473496538897e-12,"Fisher's Exact Test for Count Data","occur"
