"variable","value","report_assessed_lombok","report_positive_lombok","report_assessed_sumbawa","report_positive_sumbawa","report_assessed_all","report_positive_all"
"house_window_regroup","kaca/tirai","96.67% (435/450)","42.99% (187/435)","65.56% (295/450)","45.08% (133/295)","81.11% (730/900)","43.84% (320/730)"
"illness_past24h_cough","no","93.56% (421/450)","43.47% (183/421)","81.78% (368/450)","43.48% (160/368)","87.67% (789/900)","43.47% (343/789)"
"illness_past24h_cough","yes","6.44% (29/450)","31.03% (9/29)","18.22% (82/450)","53.66% (44/82)","12.33% (111/900)","47.75% (53/111)"
"illness_past24h_difficulty_breathing","no","99.56% (448/450)","42.63% (191/448)","100% (450/450)","45.33% (204/450)","99.78% (898/900)","43.99% (395/898)"
"illness_past24h_difficulty_breathing","yes","0.44% (2/450)","50% (1/2)",NA,NA,"0.22% (2/900)","50% (1/2)"
"illness_past24h_difficulty_compiled","no","83.56% (376/450)","40.69% (153/376)","62.67% (282/450)","40.43% (114/282)","73.11% (658/900)","40.58% (267/658)"
"illness_past24h_difficulty_compiled","≥ 1 respiratory illness","16.44% (74/450)","52.7% (39/74)","37.33% (168/450)","53.57% (90/168)","26.89% (242/900)","53.31% (129/242)"
"illness_past24h_runny_nose","no","85.56% (385/450)","41.04% (158/385)","65.56% (295/450)","41.02% (121/295)","75.56% (680/900)","41.03% (279/680)"
"illness_past24h_runny_nose","yes","14.44% (65/450)","52.31% (34/65)","34.44% (155/450)","53.55% (83/155)","24.44% (220/900)","53.18% (117/220)"
"illness_past3days_fever","no","94.44% (425/450)","42.82% (182/425)","95.56% (430/450)","45.12% (194/430)","95% (855/900)","43.98% (376/855)"
"illness_past3days_fever","unknown","0.89% (4/450)","50% (2/4)",NA,NA,"0.44% (4/900)","50% (2/4)"
"illness_past3days_fever","yes","4.67% (21/450)","38.1% (8/21)","4.44% (20/450)","50% (10/20)","4.56% (41/900)","43.9% (18/41)"
"illness_past3days_fever_howManyDays","0","1.56% (7/450)","28.57% (2/7)","20% (90/450)","50% (45/90)","10.78% (97/900)","48.45% (47/97)"
"illness_past3days_fever_howManyDays","1","1.56% (7/450)","42.86% (3/7)","0.89% (4/450)","50% (2/4)","1.22% (11/900)","45.45% (5/11)"
"illness_past3days_fever_howManyDays","2","1.78% (8/450)","12.5% (1/8)","2.22% (10/450)","40% (4/10)","2% (18/900)","27.78% (5/18)"
"illness_past3days_fever_howManyDays","3","1.11% (5/450)","40% (2/5)","1.11% (5/450)","60% (3/5)","1.11% (10/900)","50% (5/10)"
"illness_past3days_fever_howManyDays","7",NA,NA,"0.44% (2/450)","100% (2/2)","0.22% (2/900)","100% (2/2)"
"illness_past3days_fever_howManyDays","no","93.33% (420/450)","43.33% (182/420)","75.33% (339/450)","43.66% (148/339)","84.33% (759/900)","43.48% (330/759)"
"illness_past3days_fever_howManyDays","yes","0.67% (3/450)","66.67% (2/3)",NA,NA,"0.33% (3/900)","66.67% (2/3)"
"nTotal_child_5yo_andBelow_regroup","0","90% (405/450)","43.46% (176/405)","80.89% (364/450)","45.05% (164/364)","85.44% (769/900)","44.21% (340/769)"
"nTotal_child_5yo_andBelow_regroup","1-4","10% (45/450)","35.56% (16/45)","19.11% (86/450)","46.51% (40/86)","14.56% (131/900)","42.75% (56/131)"
"nTotal_child_5yo_andBelow_sleep_regroup","0","96.89% (436/450)","43.12% (188/436)","86% (387/450)","44.96% (174/387)","91.44% (823/900)","43.99% (362/823)"
"nTotal_child_5yo_andBelow_sleep_regroup","1-3","3.11% (14/450)","28.57% (4/14)","14% (63/450)","47.62% (30/63)","8.56% (77/900)","44.16% (34/77)"
"nTotal_people_regroup","1-3 (low)","73.33% (330/450)","42.42% (140/330)","46.67% (210/450)","49.05% (103/210)","60% (540/900)","45% (243/540)"
"nTotal_people_regroup","4-6 (moderate)","26% (117/450)","42.74% (50/117)","44.67% (201/450)","40.8% (82/201)","35.33% (318/900)","41.51% (132/318)"
"nTotal_people_regroup",">6 (high)","0.67% (3/450)","66.67% (2/3)","8.67% (39/450)","48.72% (19/39)","4.67% (42/900)","50% (21/42)"
"n_child_1to2yo","0","96.89% (436/450)","41.97% (183/436)","97.78% (440/450)","45.23% (199/440)","97.33% (876/900)","43.61% (382/876)"
"n_child_1to2yo","1","2.89% (13/450)","61.54% (8/13)","2.22% (10/450)","50% (5/10)","2.56% (23/900)","56.52% (13/23)"
"n_child_1to2yo","2","0.22% (1/450)","100% (1/1)",NA,NA,"0.11% (1/900)","100% (1/1)"
"n_child_1yo_andBelow","0","97.78% (440/450)","42.73% (188/440)","97.11% (437/450)","45.08% (197/437)","97.44% (877/900)","43.9% (385/877)"
"n_child_1yo_andBelow","1","2.22% (10/450)","40% (4/10)","2.89% (13/450)","53.85% (7/13)","2.56% (23/900)","47.83% (11/23)"
"n_child_2to4yo","0","95.78% (431/450)","43.39% (187/431)","84.67% (381/450)","44.62% (170/381)","90.22% (812/900)","43.97% (357/812)"
"n_child_2to4yo","1","4.22% (19/450)","26.32% (5/19)","14% (63/450)","46.03% (29/63)","9.11% (82/900)","41.46% (34/82)"
"n_child_2to4yo","2",NA,NA,"1.11% (5/450)","80% (4/5)","0.56% (5/900)","80% (4/5)"
"n_child_2to4yo","3",NA,NA,"0.22% (1/450)","100% (1/1)","0.11% (1/900)","100% (1/1)"
"sex","laki-laki","46.89% (211/450)","42.18% (89/211)","50.67% (228/450)","43.42% (99/228)","48.78% (439/900)","42.82% (188/439)"
"sex","perempuan","53.11% (239/450)","43.1% (103/239)","49.33% (222/450)","47.3% (105/222)","51.22% (461/900)","45.12% (208/461)"
"tribe","bali","11.56% (52/450)","42.31% (22/52)",NA,NA,"5.78% (52/900)","42.31% (22/52)"
"tribe","sasak","88.44% (398/450)","42.71% (170/398)","1.11% (5/450)","60% (3/5)","44.78% (403/900)","42.93% (173/403)"
"tribe","sumbawa",NA,NA,"98.89% (445/450)","45.17% (201/445)","49.44% (445/900)","45.17% (201/445)"
"vaccination_hibpentavalent_dc_n_regroup","1-3 mandatory","38.22% (172/450)","45.93% (79/172)","63.78% (287/450)","44.6% (128/287)","51% (459/900)","45.1% (207/459)"
"vaccination_hibpentavalent_dc_n_regroup","4 booster","61.78% (278/450)","40.65% (113/278)","36.22% (163/450)","46.63% (76/163)","49% (441/900)","42.86% (189/441)"
"vaccination_pcv13_dc_n_regroup","1-2 mandatory","37.11% (167/450)","40.12% (67/167)","44% (198/450)","42.42% (84/198)","40.56% (365/900)","41.37% (151/365)"
"vaccination_pcv13_dc_n_regroup","3-4 booster","62.89% (283/450)","44.17% (125/283)","56% (252/450)","47.62% (120/252)","59.44% (535/900)","45.79% (245/535)"
