"variable","value","report_assessed_lombok","report_positive_lombok","report_assessed_sumbawa","report_positive_sumbawa","report_assessed_all","report_positive_all"
"illness_past24h_cough","yes","29 (6.4%)","9 (31%)","82 (18.2%)","44 (53.7%)","111 (12.3%)","53 (47.7%)"
"illness_past24h_difficulty_breathing","no","448 (99.6%)","191 (42.6%)","450 (100%)","204 (45.3%)","898 (99.8%)","395 (44%)"
"illness_past24h_difficulty_breathing","yes","2 (0.4%)","1 (50%)",NA,NA,"2 (0.2%)","1 (50%)"
"illness_past24h_difficulty_compiled","no","376 (83.6%)","153 (40.7%)","282 (62.7%)","114 (40.4%)","658 (73.1%)","267 (40.6%)"
"illness_past24h_difficulty_compiled","≥ 1 respiratory illness","74 (16.4%)","39 (52.7%)","168 (37.3%)","90 (53.6%)","242 (26.9%)","129 (53.3%)"
"illness_past24h_runny_nose","no","385 (85.6%)","158 (41%)","295 (65.6%)","121 (41%)","680 (75.6%)","279 (41%)"
"illness_past24h_runny_nose","yes","65 (14.4%)","34 (52.3%)","155 (34.4%)","83 (53.5%)","220 (24.4%)","117 (53.2%)"
"illness_past3days_fever_nDays_regroup","0","427 (94.9%)","184 (43.1%)","429 (95.3%)","193 (45%)","856 (95.1%)","377 (44%)"
"illness_past3days_fever_nDays_regroup","1","7 (1.6%)","3 (42.9%)","4 (0.9%)","2 (50%)","11 (1.2%)","5 (45.5%)"
"illness_past3days_fever_nDays_regroup","2","11 (2.4%)","3 (27.3%)","10 (2.2%)","4 (40%)","21 (2.3%)","7 (33.3%)"
"illness_past3days_fever_nDays_regroup","3","5 (1.1%)","2 (40%)","5 (1.1%)","3 (60%)","10 (1.1%)","5 (50%)"
"illness_past3days_fever_nDays_regroup","7",NA,NA,"2 (0.4%)","2 (100%)","2 (0.2%)","2 (100%)"
"illness_past3days_fever_regroup","no","429 (95.3%)","184 (42.9%)","430 (95.6%)","194 (45.1%)","859 (95.4%)","378 (44%)"
"illness_past3days_fever_regroup","yes","21 (4.7%)","8 (38.1%)","20 (4.4%)","10 (50%)","41 (4.6%)","18 (43.9%)"
"nTotal_child_5yo_andBelow_regroup","0","405 (90%)","176 (43.5%)","364 (80.9%)","164 (45.1%)","769 (85.4%)","340 (44.2%)"
"nTotal_child_5yo_andBelow_regroup","1-4","45 (10%)","16 (35.6%)","86 (19.1%)","40 (46.5%)","131 (14.6%)","56 (42.7%)"
"nTotal_child_5yo_andBelow_sleep_regroup","0","436 (96.9%)","188 (43.1%)","387 (86%)","174 (45%)","823 (91.4%)","362 (44%)"
"nTotal_child_5yo_andBelow_sleep_regroup","1-3","14 (3.1%)","4 (28.6%)","63 (14%)","30 (47.6%)","77 (8.6%)","34 (44.2%)"
"nTotal_people_regroup","1-3 (low)","330 (73.3%)","140 (42.4%)","210 (46.7%)","103 (49%)","540 (60%)","243 (45%)"
"nTotal_people_regroup","4-6 (moderate)","117 (26%)","50 (42.7%)","201 (44.7%)","82 (40.8%)","318 (35.3%)","132 (41.5%)"
"nTotal_people_regroup",">6 (high)","3 (0.7%)","2 (66.7%)","39 (8.7%)","19 (48.7%)","42 (4.7%)","21 (50%)"
"n_child_1to2yo","0","436 (96.9%)","183 (42%)","440 (97.8%)","199 (45.2%)","876 (97.3%)","382 (43.6%)"
"n_child_1to2yo","1","13 (2.9%)","8 (61.5%)","10 (2.2%)","5 (50%)","23 (2.6%)","13 (56.5%)"
"n_child_1to2yo","2","1 (0.2%)","1 (100%)",NA,NA,"1 (0.1%)","1 (100%)"
"n_child_1yo_andBelow","0","440 (97.8%)","188 (42.7%)","437 (97.1%)","197 (45.1%)","877 (97.4%)","385 (43.9%)"
"n_child_1yo_andBelow","1","10 (2.2%)","4 (40%)","13 (2.9%)","7 (53.8%)","23 (2.6%)","11 (47.8%)"
"n_child_2to4yo","0","431 (95.8%)","187 (43.4%)","381 (84.7%)","170 (44.6%)","812 (90.2%)","357 (44%)"
"n_child_2to4yo","1","19 (4.2%)","5 (26.3%)","63 (14%)","29 (46%)","82 (9.1%)","34 (41.5%)"
"n_child_2to4yo","2",NA,NA,"5 (1.1%)","4 (80%)","5 (0.6%)","4 (80%)"
"n_child_2to4yo","3",NA,NA,"1 (0.2%)","1 (100%)","1 (0.1%)","1 (100%)"
"sex","laki-laki","211 (46.9%)","89 (42.2%)","228 (50.7%)","99 (43.4%)","439 (48.8%)","188 (42.8%)"
"sex","perempuan","239 (53.1%)","103 (43.1%)","222 (49.3%)","105 (47.3%)","461 (51.2%)","208 (45.1%)"
"tribe","bali","52 (11.6%)","22 (42.3%)",NA,NA,"52 (5.8%)","22 (42.3%)"
"tribe","sasak","398 (88.4%)","170 (42.7%)","5 (1.1%)","3 (60%)","403 (44.8%)","173 (42.9%)"
"tribe","sumbawa",NA,NA,"445 (98.9%)","201 (45.2%)","445 (49.4%)","201 (45.2%)"
"vaccination_hibpentavalent_dc_n_regroup","1-3 mandatory","172 (38.2%)","79 (45.9%)","287 (63.8%)","128 (44.6%)","459 (51%)","207 (45.1%)"
"vaccination_hibpentavalent_dc_n_regroup","4 booster","278 (61.8%)","113 (40.6%)","163 (36.2%)","76 (46.6%)","441 (49%)","189 (42.9%)"
"vaccination_pcv13_dc_n_regroup","1-2 mandatory","167 (37.1%)","67 (40.1%)","198 (44%)","84 (42.4%)","365 (40.6%)","151 (41.4%)"
"vaccination_pcv13_dc_n_regroup","3-4 booster","283 (62.9%)","125 (44.2%)","252 (56%)","120 (47.6%)","535 (59.4%)","245 (45.8%)"
