"variable","chisq_stat","chisq_df","chisq_p","chisq_method","fisher_or","fisher_or_lo","fisher_or_hi","fisher_p","fisher_method","significance"
"illness_past3days_fever",1.80339948355638,2,0.40587918328627,"Pearson's Chi-squared test",NA,NA,NA,0.596297042624893,"Fisher's Exact Test for Count Data","no"
"illness_past3days_fever_nDays",49.0214706349478,6,7.38253775259248e-09,"Pearson's Chi-squared test",NA,NA,NA,2.12418163327272e-12,"Fisher's Exact Test for Count Data","occur"
"illness_past24h_cough",24.2475168425476,1,8.47162320500356e-07,"Pearson's Chi-squared test with Yates' continuity correction",6.06556413846754,2.74721070343208,14.8379165495596,3.38996395374207e-07,"Fisher's Exact Test for Count Data","occur"
"illness_past24h_runny_nose",28.4222458023875,1,9.7538061307073e-08,"Pearson's Chi-squared test with Yates' continuity correction",3.84133808984152,2.27822795709719,6.58738644165325,5.33232450851922e-08,"Fisher's Exact Test for Count Data","occur"
"illness_past24h_difficulty_breathing",1.01230135768496e-30,1,0.999999999999999,"Pearson's Chi-squared test with Yates' continuity correction",0,0,46.2640302664794,1,"Fisher's Exact Test for Count Data","no"
"antibiotic_past3days",1.42933002809312,2,0.489356011732872,"Pearson's Chi-squared test",NA,NA,NA,0.616828377023623,"Fisher's Exact Test for Count Data","no"
"antibiotic_past1mo",2.10968796198021,1,0.146369160806086,"Pearson's Chi-squared test with Yates' continuity correction",6.07148118885073,0.669117330612641,289.645044431415,0.0970265916910122,"Fisher's Exact Test for Count Data","no"
"vaccination_hibpentavalent_dc_n",20.7671389121721,2,3.09366356662563e-05,"Pearson's Chi-squared test",NA,NA,NA,1.10681742646373e-05,"Fisher's Exact Test for Count Data","occur"
"vaccination_pcv13_dc_n",2.87500980448192,4,0.578955322744013,"Pearson's Chi-squared test",NA,NA,NA,0.943715844206204,"Fisher's Exact Test for Count Data","no"
"age_year",87.6632247398575,4,4.12816429610494e-18,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"age_year_2groups",42.2193664187643,1,8.15880510498394e-11,"Pearson's Chi-squared test with Yates' continuity correction",0.0915060384209927,0.0336522479187333,0.213313441184113,1.19507125657493e-11,"Fisher's Exact Test for Count Data","occur"
"age_year_3groups",64.7503997413705,2,8.70220571707603e-15,"Pearson's Chi-squared test",NA,NA,NA,9.62582004509805e-16,"Fisher's Exact Test for Count Data","occur"
"breastFeed_compiled",34.2130465637521,2,3.7216140629635e-08,"Pearson's Chi-squared test",NA,NA,NA,1.10936430313007e-08,"Fisher's Exact Test for Count Data","occur"
"house_roof_regroup",29.7397996194687,4,5.52915482636626e-06,"Pearson's Chi-squared test",NA,NA,NA,2.67677966467557e-06,"Fisher's Exact Test for Count Data","occur"
"house_building_regroup",100.384116116437,2,1.59171808212774e-22,"Pearson's Chi-squared test",NA,NA,NA,4.29640187078632e-29,"Fisher's Exact Test for Count Data","occur"
"house_window_regroup",61.4017633300414,1,4.653935290146e-15,"Pearson's Chi-squared test with Yates' continuity correction",0.0497819067933455,0.0150643217374363,0.128929678685541,1.11881739561172e-16,"Fisher's Exact Test for Count Data","occur"
"nTotal_people_regroup",21.7546412487552,2,1.88816383428539e-05,"Pearson's Chi-squared test",NA,NA,NA,4.90025521232405e-06,"Fisher's Exact Test for Count Data","occur"
"nTotal_child_5yo_andBelow_regroup",7.26674344256299,1,0.00702430491710588,"Pearson's Chi-squared test with Yates' continuity correction",2.5130976387836,1.26336270566799,5.16615224960451,0.00633619211846085,"Fisher's Exact Test for Count Data","occur"
"nTotal_child_5yo_andBelow_sleep_regroup",15.5084338582919,1,8.21379598491247e-05,"Pearson's Chi-squared test with Yates' continuity correction",7.40288387556766,2.4351116312667,30.2584192257822,4.41669611074107e-05,"Fisher's Exact Test for Count Data","occur"
"illness_past3days_fever_regroup",0.00898437160767086,1,0.924484866632122,"Pearson's Chi-squared test with Yates' continuity correction",1.19663640776519,0.381235673886055,3.75635279467986,0.799989075106966,"Fisher's Exact Test for Count Data","no"
"illness_past3days_fever_nDays_regroup",3.54011188617773,4,0.471805513003872,"Pearson's Chi-squared test",NA,NA,NA,0.541904676412209,"Fisher's Exact Test for Count Data","no"
"illness_past24h_difficulty_compiled",27.983432250498,1,1.22358575543425e-07,"Pearson's Chi-squared test with Yates' continuity correction",0.274349066254029,0.163534343658201,0.454090071179377,6.74375006877829e-08,"Fisher's Exact Test for Count Data","occur"
"vaccination_hibpentavalent_dc_n_regroup",13.3737092975588,1,0.000255176176492566,"Pearson's Chi-squared test with Yates' continuity correction",0.435672302649404,0.274035008177981,0.688407717097451,0.000203750020763756,"Fisher's Exact Test for Count Data","occur"
"vaccination_pcv13_dc_n_regroup",1.7088097104324e-30,1,0.999999999999999,"Pearson's Chi-squared test with Yates' continuity correction",0.997538046181403,0.621713408100717,1.6030900702114,1,"Fisher's Exact Test for Count Data","no"
"final_pneumo_decision",1.01230135768496e-30,1,0.999999999999999,"Pearson's Chi-squared test with Yates' continuity correction",Inf,0.0216150645380435,Inf,1,"Fisher's Exact Test for Count Data","no"
"workWGS_process_date",196.472826681247,12,1.74217459733786e-35,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_no_isolat",339,338,0.474460417913304,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,NA
"workWGS_genome_length",339,338,0.474460417913304,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,NA
"workWGS_gc_content",40.6919925967712,15,0.000356249206532525,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_serotype",76.8599474886536,47,0.00387687663242808,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_pw_ST",254.20660436513,148,1.29983641389878e-07,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_gpsc_strain",69.3888084357693,39,0.00195365636537211,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_pw_aroe",40.0137342754186,22,0.0107718459489803,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_pw_gdh",58.0982143811005,31,0.00224630188525262,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_pw_gki",64.7781602590798,28,9.64973236591865e-05,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_pw_recp",46.5603362479212,24,0.00378871505671094,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_pw_spi",60.856387537456,29,0.000482712225772504,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_pw_xpt",52.3875361353824,29,0.00493340820039412,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_pw_ddl",51.1042436869503,31,0.0129544248906737,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_AMR_pbp1a",25.1483811891445,18,0.120883269464029,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,NA
"workWGS_AMR_pbp2b",21.5467787096222,15,0.120250207358739,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,NA
"workWGS_AMR_pbp2x",46.0012570695112,20,0.00080570019792053,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_AMR_chloramphenicol",0.131940835895917,1,0.716428140652134,"Pearson's Chi-squared test with Yates' continuity correction",1.3549268392597,0.451269549547343,4.14736950328037,0.62103193178162,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_clindamycin",3.06714515181381,2,0.215763457418535,"Pearson's Chi-squared test",NA,NA,NA,0.294115358697283,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_erythromycin",0.794883528254083,2,0.67203707817394,"Pearson's Chi-squared test",NA,NA,NA,0.665099460479942,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_fluoroquinolones",3.22131931226207,3,0.35874450848418,"Pearson's Chi-squared test",NA,NA,NA,0.435808038579808,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_tetracycline",17.4551525405304,5,0.00371278482740347,"Pearson's Chi-squared test",NA,NA,NA,0.00216247820692222,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_trimethoprim",2.16536388877241,1,0.141151205905846,"Pearson's Chi-squared test with Yates' continuity correction",0.674826261417667,0.400961441743249,1.12574084485676,0.114429698420643,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_sulfamethoxazole",4.96743253850636,1,0.025828960715359,"Pearson's Chi-squared test with Yates' continuity correction",0.593046993705117,0.37166789757783,0.94115663023782,0.0203700945286474,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_cotrimoxazole",5.9600014025683,3,0.1135725431854,"Pearson's Chi-squared test",NA,NA,NA,0.0848593436956886,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_amoxicillin",7.70892180925666,2,0.0211850209789923,"Pearson's Chi-squared test",NA,NA,NA,0.00920904481040611,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_ceftriaxone",7.47986835944198,2,0.0237556666844569,"Pearson's Chi-squared test",NA,NA,NA,0.0132955095310886,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_cefotaxime",7.70892180925666,2,0.0211850209789923,"Pearson's Chi-squared test",NA,NA,NA,0.00920904481040611,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_cefuroxime",3.75441125227597,2,0.153017095867168,"Pearson's Chi-squared test",NA,NA,NA,0.144725464244113,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_meropenem",8.82303105228911,3,0.0317387094754888,"Pearson's Chi-squared test",NA,NA,NA,0.00835018636196937,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_penicillin",24.0283485273492,3,2.46418614780945e-05,"Pearson's Chi-squared test",NA,NA,NA,5.56826990302602e-06,"Fisher's Exact Test for Count Data","occur"
"workWGS_serotype_regroup",71.5950834800152,41,0.00217270131378588,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_AMR_ceftriaxone_nonMeningitis",6.12962706056855,1,0.0132934909498817,"Pearson's Chi-squared test with Yates' continuity correction",6.2732860134845,1.40586611017408,57.6834194183447,0.0081960433361464,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_ceftriaxone_meningitis",7.47986835944198,2,0.0237556666844569,"Pearson's Chi-squared test",NA,NA,NA,0.0132955095310886,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_cefotaxime_nonMeningitis",6.12962706056855,1,0.0132934909498817,"Pearson's Chi-squared test with Yates' continuity correction",6.2732860134845,1.40586611017408,57.6834194183447,0.0081960433361464,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_cefotaxime_meningitis",7.70892180925666,2,0.0211850209789923,"Pearson's Chi-squared test",NA,NA,NA,0.00920904481040611,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_penicillin_nonMeningitis",7.70892180925666,2,0.0211850209789923,"Pearson's Chi-squared test",NA,NA,NA,0.00920904481040611,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_penicillin_meningitis",23.9481597098658,2,6.30555318470541e-06,"Pearson's Chi-squared test",NA,NA,NA,2.86868482928823e-06,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_class_cephalosporins",7.57967407843552,2,0.0225992843481178,"Pearson's Chi-squared test",NA,NA,NA,0.0130136614278683,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_class_penicillins",7.70892180925666,2,0.0211850209789923,"Pearson's Chi-squared test",NA,NA,NA,0.00920904481040611,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_class_antifolates",5.48628498955462,3,0.139461231989646,"Pearson's Chi-squared test",NA,NA,NA,0.0996592124311372,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_logic_class_amphenicols",0.131940835895917,1,0.716428140652134,"Pearson's Chi-squared test with Yates' continuity correction",1.3549268392597,0.451269549547343,4.14736950328037,0.62103193178162,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_logic_class_lincosamides",2.14777406298339e-32,1,1,"Pearson's Chi-squared test with Yates' continuity correction",1.19017016930487,0.157104680664034,9.01822907191177,1,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_logic_class_macrolides",0.233788145274397,1,0.628729091417041,"Pearson's Chi-squared test with Yates' continuity correction",1.29999490946139,0.563546254383843,3.01701238754044,0.560918641123154,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_logic_class_quinolones",0.0223135237176919,1,0.881256065448646,"Pearson's Chi-squared test with Yates' continuity correction",2.38616004011759,0.123119972073392,141.769065089105,0.594514278113812,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_logic_class_tetracyclines",0.235257373511683,1,0.627652672081882,"Pearson's Chi-squared test with Yates' continuity correction",0.867084410482103,0.529115925206071,1.4152428409558,0.556967401226187,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_logic_class_carbapenems",5.96007302477892e-31,1,0.999999999999999,"Pearson's Chi-squared test with Yates' continuity correction",0.591789739206736,0.00995790785418533,11.4693238741188,1,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_logic_class_cephalosporins",9.15467216606042e-29,1,0.999999999999992,"Pearson's Chi-squared test with Yates' continuity correction",0.789216720207791,0.0651623940121983,6.98222534736622,1,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_logic_class_penicillins",5.96007302477892e-31,1,0.999999999999999,"Pearson's Chi-squared test with Yates' continuity correction",0.591789739206736,0.00995790785418533,11.4693238741188,1,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_logic_class_antifolates",4.86262496744623,1,0.0274445495464033,"Pearson's Chi-squared test with Yates' continuity correction",0.59703835843537,0.374745567701257,0.946291959203214,0.0268025120571676,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_logic_class_counts",10.0540158627301,6,0.122395647687215,"Pearson's Chi-squared test",NA,NA,NA,0.0855559536782964,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_MDR_flag",0.269512364903886,1,0.60365906969549,"Pearson's Chi-squared test with Yates' continuity correction",0.77370568628942,0.35145275864154,1.69547487449308,0.581802421603653,"Fisher's Exact Test for Count Data","no"
"workWGS_success_failed",335,332,0.443567744944653,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,NA
"workBLAST_lytA_pident",36.5594847233084,29,0.157830219219155,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,NA
"workBLAST_lytA_length",19.4631622242633,17,0.302603508770187,"Pearson's Chi-squared test",NA,NA,NA,0.215186656116436,"Fisher's Exact Test for Count Data","no"
"workBLAST_lytA_mismatch",23.421344386787,16,0.102926836742256,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,NA
"workBLAST_lytA_gapopen",3.62738928363424,4,0.458774624836049,"Pearson's Chi-squared test",NA,NA,NA,0.498190743536323,"Fisher's Exact Test for Count Data","no"
"workBLAST_lytA_qstart",338,337,0.474422653191989,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,NA
"workBLAST_lytA_qend",338,337,0.474422653191989,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,NA
"workBLAST_lytA_sstart",11.6523294314939,11,0.390335498582909,"Pearson's Chi-squared test",NA,NA,NA,0.29862251397246,"Fisher's Exact Test for Count Data","no"
"workBLAST_lytA_send",12.701620660443,10,0.240836268344859,"Pearson's Chi-squared test",NA,NA,NA,0.11850721449011,"Fisher's Exact Test for Count Data","no"
"workBLAST_lytA_bitscore",38.8114983172233,31,0.15809195952736,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,NA
"workWGS_MLST_dc_ST",59.1876111359849,42,0.0411144603568429,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_dc_aroe",38.8152467559138,23,0.0207866611365084,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_dc_gdh",53.7748053053951,33,0.0126272950289863,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_dc_gki",62.4747871243146,30,0.000457136084527772,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_dc_recp",46.0804644908521,26,0.00893481574995248,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_dc_spi",47.123792955398,28,0.0132922776491008,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_dc_xpt",52.3245371631426,35,0.0300657834110416,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_dc_ddl",48.5982251057328,37,0.09605547297512,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,NA
"workWGS_kity_top_hits",213.097791950886,177,0.0331318837033628,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_kity_max_mm",3.23655961749112,2,0.198239415659864,"Pearson's Chi-squared test",NA,NA,NA,0.133045127363451,"Fisher's Exact Test for Count Data","no"
"workWGS_kity_max_percent",130.038229312846,98,0.0168180820009779,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_kity_folder",10.4499304315787,4,0.0334937186311727,"Pearson's Chi-squared test",NA,NA,NA,0.0215852539743417,"Fisher's Exact Test for Count Data","occur"
"workWGS_kity_stage1_result",61.7710872460287,40,0.0151297723211691,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_kity_stage2_varids",13.4172061116045,7,0.0625725528026258,"Pearson's Chi-squared test",NA,NA,NA,0.0437607755944808,"Fisher's Exact Test for Count Data","occur"
"workWGS_kity_stage2_hits",13.7921647764749,9,0.129912772591548,"Pearson's Chi-squared test",NA,NA,NA,0.0798946288806443,"Fisher's Exact Test for Count Data","no"
"workWGS_kity_stage2_result",13.4172061116045,7,0.0625725528026258,"Pearson's Chi-squared test",NA,NA,NA,0.0437607755944808,"Fisher's Exact Test for Count Data","occur"
"workWGS_kity_predicted_serotype",64.7383629260546,43,0.0176367201925752,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_kity_rag_status",1.42755758278963,2,0.489789882339822,"Pearson's Chi-squared test",NA,NA,NA,0.495093105292707,"Fisher's Exact Test for Count Data","no"
"workWGS_kity_predicted_serotype_regroup",53.2780524734425,34,0.0187942877470232,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"serotype_final_decision",65.7338901997578,39,0.00470712834838629,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"serotype_final_decision_DC_notes",0.206111415849075,1,0.649832460573361,"Pearson's Chi-squared test with Yates' continuity correction",1.34269246117113,0.523515801225323,3.6264904286442,0.525362604531792,"Fisher's Exact Test for Count Data","no"
"workPoppunk_qc",15.6796629880513,4,0.00348055442860972,"Pearson's Chi-squared test",NA,NA,NA,0.000217511864738452,"Fisher's Exact Test for Count Data","occur"
"serotype_classification_PCV13",5.94985220782067,2,0.0510512063492937,"Pearson's Chi-squared test",NA,NA,NA,0.0549653031424014,"Fisher's Exact Test for Count Data","no"
"serotype_classification_PCV13_pw",2.03943539103144,1,0.153266525453748,"Pearson's Chi-squared test with Yates' continuity correction",1.47019235886436,0.876064592686344,2.47489355868471,0.134855369454928,"Fisher's Exact Test for Count Data","no"
"serotype_classification_PCV13_final_decision",6.20167366693452,2,0.045011519482681,"Pearson's Chi-squared test",NA,NA,NA,0.0431644040455241,"Fisher's Exact Test for Count Data","occur"
"serotype_classification_PCV15_final_decision",6.20167366693452,2,0.045011519482681,"Pearson's Chi-squared test",NA,NA,NA,0.0431644040455241,"Fisher's Exact Test for Count Data","occur"
